experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size
SE,FT,Data Engineer,130500,0,M
SE,FT,Data Engineer,96000,0,M
SE,FT,Machine Learning Engineer,190000,0,M
SE,FT,Machine Learning Engineer,160000,0,M
EN,FT,Data Analyst,101520,0,M
EN,FT,Data Analyst,45864,0,M
SE,FT,Data Engineer,172469,0,M
SE,FT,Data Engineer,114945,0,M
MI,FT,Data Scientist,156450,100,M
MI,FT,Data Scientist,119200,100,M
SE,FT,Data Analyst,170000,0,M
SE,FT,Data Analyst,130000,0,M
EN,FT,Data Analyst,75000,0,M
EN,FT,Data Analyst,65000,0,M
EN,FT,Data Engineer,120000,0,M
EN,FT,Data Engineer,100000,0,M
SE,FT,Data Engineer,190000,100,M
SE,FT,Data Engineer,155000,100,M
SE,FT,Data Analyst,174000,100,M
SE,FT,Data Analyst,116000,100,M
MI,FT,Data Analyst,100000,0,M
MI,FT,Data Analyst,80000,0,M
MI,FT,Data Analyst,145000,0,M
MI,FT,Data Analyst,95000,0,M
MI,FT,Data Scientist,120000,0,S
MI,FT,Data Scientist,70000,0,S
MI,CT,Data Scientist,130000,0,M
MI,CT,Data Scientist,110000,0,M
SE,FT,Data Analyst,69230,0,M
SE,FT,Data Analyst,57692,0,M
MI,FT,Data Analyst,112300,0,M
MI,FT,Data Analyst,75100,0,M
SE,FT,Data Scientist,138000,0,M
SE,FT,Data Scientist,72000,0,M
SE,FT,Machine Learning Engineer,190000,0,M
SE,FT,Machine Learning Engineer,100000,0,M
MI,FT,Data Scientist,150650,0,M
MI,FT,Data Scientist,106700,0,M
SE,FT,Data Scientist,192300,0,M
SE,FT,Data Scientist,107900,0,M
SE,FT,Data Scientist,257600,0,M
SE,FT,Data Scientist,146000,0,M
EN,FT,Data Analyst,90000,0,M
EN,FT,Data Analyst,70000,0,M
SE,FT,Machine Learning Engineer,122222,100,S
SE,FT,Machine Learning Engineer,77777,100,S
SE,FT,Data Engineer,158200,0,M
SE,FT,Data Engineer,74100,0,M
SE,FT,Data Engineer,231400,0,M
SE,FT,Data Engineer,170955,0,M
MI,FT,Data Engineer,137000,0,M
MI,FT,Data Engineer,60300,0,M
MI,FT,Data Analyst,101098,0,M
MI,FT,Data Analyst,59469,0,M
SE,FT,Machine Learning Engineer,251250,0,M
SE,FT,Machine Learning Engineer,120750,0,M
MI,FT,Data Analyst,33333,0,M
MI,FT,Data Analyst,28666,0,M
SE,FT,Data Scientist,189615,0,M
SE,FT,Data Scientist,150385,0,M
MI,FT,Data Scientist,109000,100,M
MI,FT,Data Scientist,93000,100,M
MI,FT,Data Scientist,164000,0,M
MI,FT,Data Scientist,131000,0,M
MI,FT,Data Analyst,68750,100,M
MI,FT,Data Analyst,56250,100,M
SE,FT,Data Engineer,212750,0,M
SE,FT,Data Engineer,157250,0,M
EN,FT,Data Analyst,150000,100,M
EN,FT,Data Analyst,129200,100,M
SE,FT,Machine Learning Engineer,265000,0,M
SE,FT,Machine Learning Engineer,170000,0,M
SE,FT,Data Scientist,190000,100,M
SE,FT,Data Scientist,155000,100,M
SE,FT,Data Engineer,165000,100,M
SE,FT,Data Engineer,100000,100,M
MI,FT,Data Engineer,213900,100,M
MI,FT,Data Engineer,126500,100,M
SE,FT,Machine Learning Engineer,225000,100,M
SE,FT,Machine Learning Engineer,66000,100,M
SE,FT,Machine Learning Engineer,282000,100,M
SE,FT,Machine Learning Engineer,188000,100,M
MI,FT,Data Analyst,143800,100,M
MI,FT,Data Analyst,106300,100,M
MI,FT,Data Engineer,140000,0,M
MI,FT,Data Engineer,110000,0,M
SE,FT,Data Analyst,140000,100,M
SE,FT,Data Analyst,120000,100,M
MI,FT,Data Scientist,199700,0,M
MI,FT,Data Scientist,70800,0,M
SE,FT,Machine Learning Engineer,264500,100,M
